business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
Cafe Al-Quds,Cafe,12976,2025-10-24,18,Friday,10,image,Behind the scenes from our team. Book now | ahlan ya shabab ???????????,71,3,8,599,64,0.0,Mixed,True,False,0.0,True,True,False,True
Kanafeh & Kunafa House,Bakery,13490,2026-01-17,18,Saturday,1,reel,Fresh and ready today. | baraka #SupportLocal #Fitness #Clinic #Jerusalem #SmallBusiness,88,5,3,489,31,13664.0,Arabic,False,True,38.0,False,True,False,False
Gaza Power House,Gym,1688,2025-10-26,22,Sunday,10,carousel,Customer favorite is back. Call for appointment,47,8,0,63,6,0.0,Arabic,True,False,0.0,False,False,False,True
Olive Branch Books,Bookstore,4379,2025-08-03,18,Sunday,8,reel,New arrivals just landed. | ahlan ya shabab,43,6,3,107,11,11585.0,Mixed,False,False,0.0,True,True,False,True
Nablus Coffee Corner,Cafe,2909,2025-08-29,18,Friday,8,reel,Fresh and ready today.,22,5,2,126,5,8168.0,Arabic,False,False,0.0,False,False,False,True
Ramallah Readers,Bookstore,5527,2025-07-16,15,Wednesday,7,image,Community vibes in Jerusalem. #Beauty #Ramallah #Fitness #SmallBusiness,71,4,0,170,8,0.0,English,False,False,0.0,True,False,False,True
Olive Branch Books,Bookstore,4379,2026-02-04,20,Wednesday,2,reel,Behind the scenes from our team. Book now #Gaza #Nablus #Food #SmallBusiness #Ramallah,86,5,0,130,17,10132.0,Arabic,True,False,0.0,False,True,False,False
Gaza Home Cleaning,Local Services,2776,2025-08-14,19,Thursday,8,reel,Limited offer for this week.,28,6,0,68,4,1157.0,Mixed,False,False,0.0,False,False,False,True
Laila Hair & Nails,Beauty Salon,2528,2026-03-10,19,Tuesday,3,video,Ramadan-style menu ideas.,25,6,4,52,2,4942.0,Mixed,False,True,0.0,True,False,False,True
Jerusalem Kitchen,Restaurant,10814,2026-01-12,9,Monday,1,reel,Fresh and ready today. Visit us today #Gaza #Bookstore #Coffee #Palestine #Fitness,82,5,5,206,25,5998.0,English,True,False,0.0,True,False,False,False
Nablus Printing Studio,Local Services,3287,2025-06-19,20,Thursday,6,reel,Limited offer for this week. Tag a friend ???????? #Hebron #Jerusalem #Fitness #Nablus #Beauty #Coffee #Palestine #SupportLocal,127,8,3,99,9,7407.0,Arabic,True,True,32.0,False,False,False,True
Nablus Skin Center,Clinic,11174,2025-08-27,12,Wednesday,8,reel,Behind the scenes from our team. | ahlan ya shabab ???????? #SupportLocal,73,1,7,248,14,29515.0,Arabic,False,True,28.0,False,False,False,True
Strong Roots Gym,Gym,8112,2025-12-14,12,Sunday,12,reel,New arrivals just landed. #Gaza #Ramallah #Coffee #Bookstore,60,4,2,138,11,13641.0,Arabic,False,False,0.0,False,False,False,True
Gaza Power House,Gym,1688,2025-09-06,20,Saturday,9,carousel,Community vibes in Ramallah. ?????? #Jerusalem #Clinic #Bookstore #Palestine #Coffee #Hebron,92,6,3,46,4,0.0,English,False,True,11.0,True,False,True,False
Al-Quds Phone Repair,Local Services,1807,2025-10-18,10,Saturday,10,carousel,Ramadan-style menu ideas.,25,4,3,43,1,,Arabic,False,False,0.0,True,False,False,True
Ramallah Readers,Bookstore,5527,2025-12-06,21,Saturday,12,image,Customer favorite is back.,26,3,0,93,5,,Arabic,False,False,0.0,False,False,False,False
Nablus Linen Co,Clothing Store,2669,2026-02-08,17,Sunday,2,image,Fresh and ready today.,22,6,0,47,4,0.0,Arabic,False,False,0.0,False,False,False,True
Olive Branch Books,Bookstore,4379,2025-09-29,21,Monday,9,image,New arrivals just landed.,25,6,4,122,9,0.0,Mixed,False,True,31.0,True,False,False,False
Gaza Home Cleaning,Local Services,2776,2025-09-15,7,Monday,9,image,Behind the scenes from our team. | ahlan ya shabab #Palestine #SmallBusiness #Clinic #Ramallah #Fitness #Food #Bookstore #Hebron,128,8,2,104,6,,Arabic,False,True,33.0,False,False,True,True
Ramallah Delivery Service,Local Services,3962,2025-07-29,14,Tuesday,7,carousel,"Support local, shop Palestinian. Order on WhatsApp ?????? #Fitness #Ramallah #Gaza #Jerusalem #Nablus #Hebron #SmallBusiness #SupportLocal",138,12,3,146,10,0.0,Arabic,True,False,0.0,False,True,False,False
Falafel Al-Balad,Restaurant,11524,2025-11-12,4,Wednesday,11,image,Fresh and ready today. #Beauty #Ramallah #Nablus,48,3,5,227,18,0.0,Arabic,False,False,0.0,False,False,False,False
Olive Branch Books,Bookstore,4379,2025-09-25,17,Thursday,9,reel,Fresh and ready today. Book now ???,35,6,2,134,16,876.0,Arabic,True,False,0.0,False,False,False,False
Gaza Home Cleaning,Local Services,2776,2025-11-16,11,Sunday,11,carousel,Behind the scenes from our team. DM us ????? #Nablus #Ramallah #Gaza #SmallBusiness #SupportLocal,97,5,3,108,13,0.0,Mixed,True,False,0.0,True,False,False,True
Gaza Home Cleaning,Local Services,2776,2026-03-13,8,Friday,3,reel,Ramadan-style menu ideas. Call for appointment ????????,55,3,5,101,13,4779.0,English,True,False,0.0,False,False,False,False
Ramallah Readers,Bookstore,5527,2025-11-22,10,Saturday,11,reel,"Support local, shop Palestinian. #Bookstore #Clinic #SmallBusiness #Jerusalem",77,4,0,118,9,6628.0,English,False,True,33.0,True,False,False,False
Jerusalem Saj Bakery,Bakery,5611,2025-07-27,13,Sunday,7,reel,Fresh and ready today. Order on WhatsApp | baraka #Nablus #Ramallah,67,2,2,148,14,4283.0,Arabic,True,True,27.0,False,True,False,False
Taste of Hebron,Restaurant,12512,2025-12-21,0,Sunday,12,reel,"Support local, shop Palestinian. DM us ????????? #Beauty #Clinic #SupportLocal",78,3,4,399,44,20509.0,Arabic,True,False,0.0,False,False,False,True
Nablus Sweet Oven,Bakery,10928,2025-11-06,22,Thursday,11,image,Behind the scenes from our team. #Fitness #Gaza #Nablus #Coffee #SupportLocal,77,5,3,309,25,0.0,Arabic,False,True,40.0,False,False,False,False
Ramallah Readers,Bookstore,5527,2026-01-16,21,Friday,1,reel,Limited offer for this week. | for Palestine ??????,51,8,4,217,7,9446.0,Arabic,False,False,0.0,False,False,True,True
Al-Quds Phone Repair,Local Services,1807,2025-12-14,18,Sunday,12,video,Fresh and ready today. Visit us today ????? #SupportLocal #Bookstore #Clinic #SmallBusiness #Coffee #Jerusalem,110,6,3,28,3,3380.0,English,True,False,0.0,False,False,False,False
Olive Branch Books,Bookstore,4379,2026-01-11,19,Sunday,1,image,Fresh and ready today. Order on WhatsApp,40,6,0,122,10,0.0,Arabic,True,False,0.0,True,False,False,False
Laila Hair & Nails,Beauty Salon,2528,2025-07-12,20,Saturday,7,carousel,Community vibes in Bethlehem. #Clinic #Palestine #Beauty #Coffee #Ramallah #Food #Jerusalem,91,7,0,70,3,0.0,Arabic,False,False,0.0,True,False,True,True
Ramallah Lash Bar,Beauty Salon,6223,2025-11-06,10,Thursday,11,image,New arrivals just landed. Share this ? #Clinic #Nablus #SupportLocal,68,3,1,103,10,0.0,English,True,False,0.0,True,False,False,False
Nablus Skin Center,Clinic,11174,2025-08-24,22,Sunday,8,image,"Support local, shop Palestinian. Share this #Clinic #Palestine #Fitness #Beauty #Nablus #Bookstore",98,6,1,292,29,0.0,English,True,False,0.0,True,False,False,False
Al-Quds Phone Repair,Local Services,1807,2026-02-26,17,Thursday,2,carousel,Fresh and ready today. Share this | ahlan ya shabab,51,3,2,48,4,,Mixed,True,False,0.0,False,False,False,True
Gaza Power House,Gym,1688,2026-01-17,15,Saturday,1,image,Community vibes in Bethlehem. Tag a friend ?????,48,6,3,66,7,0.0,Arabic,True,False,0.0,True,False,False,True
Cafe Al-Quds,Cafe,12976,2025-07-11,8,Friday,7,carousel,"Support local, shop Palestinian. | ahlan ya shabab ????????",59,2,4,297,18,0.0,Arabic,False,False,0.0,True,False,False,True
Shifa Physiotherapy,Clinic,10435,2025-10-28,11,Tuesday,10,image,"Support local, shop Palestinian. | ahlan ya shabab | baraka",59,5,0,398,21,,Arabic,False,True,35.0,False,True,False,True
Laila Hair & Nails,Beauty Salon,2528,2025-08-08,8,Friday,8,image,"Support local, shop Palestinian. | ahlan ya shabab ??????????",61,6,6,93,7,0.0,Arabic,False,False,0.0,False,False,False,True
Gaza Book Nook,Bookstore,2978,2025-10-08,8,Wednesday,10,image,"Support local, shop Palestinian. #Fitness #Beauty #Coffee #Hebron",65,4,3,70,6,0.0,Arabic,False,False,0.0,True,False,False,False
Ramallah Delivery Service,Local Services,3962,2025-10-15,9,Wednesday,10,image,Ramadan-style menu ideas. | ahlan ya shabab,43,2,3,167,8,0.0,Arabic,False,False,0.0,True,True,False,True
Taste of Hebron,Restaurant,12512,2025-12-25,15,Thursday,12,reel,Community vibes in Bethlehem. Order on WhatsApp | ahlan ya shabab #Jerusalem #Palestine #Hebron #Coffee,103,4,1,342,40,15964.0,Arabic,True,False,0.0,False,False,True,True
Ramallah Delivery Service,Local Services,3962,2025-12-05,17,Friday,12,image,Customer favorite is back. Visit us today,41,4,6,106,13,0.0,Mixed,True,True,39.0,False,False,True,False
Falafel Al-Balad,Restaurant,11524,2025-11-11,21,Tuesday,11,image,Customer favorite is back. ??????? #SupportLocal #SmallBusiness #Fitness #Gaza #Coffee,86,5,4,365,18,0.0,Arabic,False,False,0.0,False,False,False,False
Gaza Home Cleaning,Local Services,2776,2025-12-06,18,Saturday,12,reel,Behind the scenes from our team. Book now,41,8,2,60,7,3683.0,Arabic,True,False,0.0,False,False,False,False
Nablus Skin Center,Clinic,11174,2025-08-06,17,Wednesday,8,carousel,Limited offer for this week. ?,30,6,1,265,10,0.0,Mixed,False,False,0.0,True,False,False,False
Al-Quds Phone Repair,Local Services,1807,2025-08-26,20,Tuesday,8,image,Limited offer for this week. #Jerusalem #Clinic #Fitness,56,3,2,42,5,0.0,Arabic,False,False,0.0,False,False,False,True
Ramallah Streetwear,Clothing Store,18359,2025-11-02,21,Sunday,11,image,Ramadan-style menu ideas. | ahlan ya shabab #Gaza #Hebron #Ramallah #Palestine,78,4,0,638,37,0.0,Arabic,False,True,31.0,False,False,False,True
Nablus Iron Club,Gym,2735,2025-08-12,12,Tuesday,8,carousel,"Support local, shop Palestinian. #SupportLocal",46,1,3,73,3,0.0,Arabic,False,False,0.0,False,False,False,True
Gaza Glow Salon,Beauty Salon,6765,2025-06-25,8,Wednesday,6,reel,Ramadan-style menu ideas. | ahlan ya shabab | for Palestine,59,4,2,202,15,13599.0,Mixed,False,True,25.0,True,False,True,True
Al-Karmel Boutique,Clothing Store,9423,2025-07-31,10,Thursday,7,image,Behind the scenes from our team. Book now,41,4,0,240,28,,English,True,False,0.0,False,False,False,False
Ramallah Family Clinic,Clinic,2924,2025-12-19,20,Friday,12,image,Fresh and ready today. #Coffee #Hebron #Gaza #Ramallah #Bookstore,65,5,0,66,7,0.0,Arabic,False,False,0.0,False,False,False,True
Gaza Book Nook,Bookstore,2978,2025-10-14,21,Tuesday,10,carousel,Customer favorite is back.,26,10,3,90,4,,Arabic,False,False,0.0,True,False,False,False
Hebron Fresh Bakery,Bakery,8873,2026-02-12,20,Thursday,2,carousel,"Support local, shop Palestinian. DM us ?? #Clinic #Fitness #Nablus #Palestine #Bookstore #Coffee #Hebron",104,7,1,181,20,0.0,English,True,True,26.0,True,False,False,False
Gaza Book Nook,Bookstore,2978,2025-09-07,12,Sunday,9,image,Limited offer for this week. | ahlan ya shabab #Clinic #Hebron #Beauty #SupportLocal #Coffee #Ramallah #Palestine #Fitness,122,8,0,78,6,0.0,Mixed,False,False,0.0,False,False,False,True
Ramallah Streetwear,Clothing Store,18359,2025-06-22,13,Sunday,6,image,Behind the scenes from our team. | ahlan ya shabab ? #Fitness #Coffee #Jerusalem #Ramallah #Palestine,101,5,1,888,47,0.0,Mixed,False,False,0.0,True,False,False,True
Laila Hair & Nails,Beauty Salon,2528,2026-01-28,9,Wednesday,1,image,Community vibes in Gaza. ???????,32,5,4,75,2,0.0,Mixed,False,True,33.0,False,False,False,False
Nablus Skin Center,Clinic,11174,2025-12-31,10,Wednesday,12,image,Fresh and ready today.,22,4,4,260,22,,Mixed,False,True,2.0,False,False,False,True
Al-Karmel Boutique,Clothing Store,9423,2025-09-07,9,Sunday,9,reel,Ramadan-style menu ideas. #Food #Beauty #Palestine #SmallBusiness,65,4,2,259,11,11392.0,Arabic,False,True,13.0,True,False,False,True
Cafe Al-Quds,Cafe,12976,2025-10-12,8,Sunday,10,video,Limited offer for this week. ??????????? #Gaza #Clinic #Beauty #Food #Fitness #Coffee #Bookstore,96,7,5,374,21,37240.0,Arabic,False,True,15.0,False,False,True,True
Ramallah Lash Bar,Beauty Salon,6223,2025-12-30,22,Tuesday,12,reel,Community vibes in Hebron. | ahlan ya shabab #Hebron #Fitness #Beauty #Food,75,4,3,129,8,8432.0,Arabic,False,True,21.0,True,False,False,True
Sama Beauty Studio,Beauty Salon,5497,2026-02-22,6,Sunday,2,reel,"Support local, shop Palestinian.",32,5,3,175,7,9094.0,Arabic,False,False,0.0,True,False,False,True
Jerusalem Saj Bakery,Bakery,5611,2025-11-24,1,Monday,11,video,"Support local, shop Palestinian. ????????",41,3,5,94,4,3239.0,Arabic,False,True,17.0,False,False,False,False
Gaza Glow Salon,Beauty Salon,6765,2025-07-31,10,Thursday,7,image,Ramadan-style menu ideas. #Gaza #Ramallah,41,2,4,162,7,0.0,Arabic,False,False,0.0,False,False,False,False
Nablus Coffee Corner,Cafe,2909,2026-01-01,20,Thursday,1,carousel,Customer favorite is back. Call for appointment #Food #Gaza #Jerusalem,70,3,3,75,11,0.0,Arabic,True,True,19.0,True,False,False,True
Sama Beauty Studio,Beauty Salon,5497,2025-11-12,12,Wednesday,11,image,Community vibes in Hebron. Book now #Nablus #Beauty #SupportLocal,65,3,6,130,16,0.0,English,True,True,16.0,True,False,False,False
Shifa Physiotherapy,Clinic,10435,2025-11-01,17,Saturday,11,reel,Behind the scenes from our team. Call for appointment,53,4,3,325,30,13031.0,Mixed,True,False,0.0,False,False,False,False
Nablus Printing Studio,Local Services,3287,2025-09-06,8,Saturday,9,reel,Customer favorite is back. #Palestine #SupportLocal #Nablus #SmallBusiness,74,4,3,93,7,3559.0,Arabic,False,True,32.0,False,False,False,True
Nablus Sweet Oven,Bakery,10928,2025-10-01,19,Wednesday,10,image,"Support local, shop Palestinian. #Ramallah #Jerusalem #Fitness #Coffee #SupportLocal",84,5,0,310,12,0.0,Arabic,False,True,26.0,True,False,False,False
Ramallah Roastery,Cafe,4324,2025-10-12,19,Sunday,10,reel,Limited offer for this week. Order on WhatsApp ?????,52,7,3,98,11,4104.0,Arabic,True,False,0.0,True,False,False,False
Ramallah Family Clinic,Clinic,2924,2025-08-11,22,Monday,8,image,New arrivals just landed. | for Palestine #SupportLocal #Hebron #Food,69,3,3,77,7,,Mixed,False,False,0.0,False,False,True,False
Ramallah Lash Bar,Beauty Salon,6223,2025-07-01,20,Tuesday,7,video,Ramadan-style menu ideas. #SupportLocal #SmallBusiness #Beauty #Clinic #Bookstore,81,5,4,179,8,11022.0,Mixed,False,True,15.0,False,False,True,False
Gaza Glow Salon,Beauty Salon,6765,2025-10-15,12,Wednesday,10,reel,Fresh and ready today.,22,3,4,149,8,1353.0,Arabic,False,True,31.0,False,True,False,False
Laila Hair & Nails,Beauty Salon,2528,2025-07-19,19,Saturday,7,image,New arrivals just landed. | ahlan ya shabab #Nablus #SmallBusiness #Beauty #Clinic #Bookstore,93,5,3,79,6,0.0,Mixed,False,False,0.0,True,False,False,True
Ramallah Family Clinic,Clinic,2924,2025-10-02,20,Thursday,10,image,Fresh and ready today. Book now | ahlan ya shabab,49,6,3,78,9,0.0,Mixed,True,False,0.0,True,False,False,True
Ramallah Roastery,Cafe,4324,2025-10-18,18,Saturday,10,image,Fresh and ready today. Book now | baraka ?????????? #Coffee #Ramallah,69,2,5,162,16,,Mixed,True,False,0.0,False,True,False,False
Ramallah Lash Bar,Beauty Salon,6223,2025-10-17,5,Friday,10,reel,Limited offer for this week. Book now ???????????,49,2,5,165,23,1245.0,Arabic,True,True,34.0,True,False,False,False
Ramallah Delivery Service,Local Services,3962,2025-08-26,21,Tuesday,8,image,"Support local, shop Palestinian. #Palestine #Beauty #Nablus #Coffee #Jerusalem #Ramallah #SupportLocal",102,7,2,123,9,0.0,Arabic,False,True,24.0,False,False,False,True
Kanafeh & Kunafa House,Bakery,13490,2025-11-16,18,Sunday,11,carousel,"Support local, shop Palestinian. #Jerusalem #Food #Hebron #Palestine",68,4,2,309,15,0.0,Mixed,False,True,55.0,True,False,False,True
Strong Roots Gym,Gym,8112,2026-03-07,10,Saturday,3,reel,"Support local, shop Palestinian. #Ramallah #Jerusalem #Hebron #Clinic #Beauty #Food",83,6,3,250,13,11397.0,Mixed,False,False,0.0,False,False,False,False
Olive Branch Books,Bookstore,4379,2026-02-01,20,Sunday,2,reel,Fresh and ready today. | ahlan ya shabab ?????????? #Clinic #Nablus #Bookstore #Food #SupportLocal,98,5,5,173,12,10658.0,Mixed,False,False,0.0,False,False,False,True
Laila Hair & Nails,Beauty Salon,2528,2026-01-07,8,Wednesday,1,image,Behind the scenes from our team. #Hebron #Bookstore #Gaza #Nablus #SmallBusiness,80,5,3,86,6,,English,False,False,0.0,True,False,False,False
Gaza Glow Salon,Beauty Salon,6765,2025-11-07,15,Friday,11,image,Community vibes in Ramallah. Book now #Coffee #Jerusalem #Ramallah #Palestine #SupportLocal #SmallBusiness,106,6,1,142,14,0.0,Arabic,True,False,0.0,False,False,False,False
Nablus Skin Center,Clinic,11174,2026-03-10,10,Tuesday,3,reel,"Support local, shop Palestinian. ??",35,3,1,315,21,6078.0,Arabic,False,False,0.0,True,False,False,False
Jerusalem Kitchen,Restaurant,10814,2026-03-02,10,Monday,3,image,Community vibes in Ramallah. | ahlan ya shabab,46,4,3,259,20,0.0,Arabic,False,False,0.0,False,False,False,True
Sama Beauty Studio,Beauty Salon,5497,2025-07-31,12,Thursday,7,image,Behind the scenes from our team. Tag a friend,45,2,1,152,14,0.0,English,True,False,0.0,True,False,False,False
Gaza Sea Breeze Cafe,Cafe,14649,2025-12-01,8,Monday,12,image,Fresh and ready today.,22,5,2,530,30,0.0,Arabic,False,False,0.0,False,False,False,True
Gaza Home Cleaning,Local Services,2776,2026-02-17,9,Tuesday,2,image,Fresh and ready today. #Beauty #Food #Nablus #Bookstore #Coffee,63,5,1,69,6,,Arabic,False,False,0.0,False,False,False,True
Falafel Al-Balad,Restaurant,11524,2026-01-11,9,Sunday,1,image,Customer favorite is back.,26,3,2,314,27,0.0,Mixed,False,False,0.0,False,False,False,True
Al-Quds Phone Repair,Local Services,1807,2025-07-19,10,Saturday,7,carousel,Ramadan-style menu ideas.,25,4,0,55,1,0.0,Mixed,False,False,0.0,True,False,False,False
Falafel Al-Balad,Restaurant,11524,2025-12-24,19,Wednesday,12,reel,Community vibes in Hebron. Tag a friend ?,41,6,1,594,59,15443.0,Mixed,True,False,0.0,False,False,False,True
Laila Hair & Nails,Beauty Salon,2528,2026-03-08,15,Sunday,3,carousel,Customer favorite is back. #Beauty #Jerusalem #Ramallah #Food #Fitness #SupportLocal #Coffee,92,7,6,51,1,0.0,Mixed,False,True,32.0,False,False,True,False
Ramallah Lash Bar,Beauty Salon,6223,2025-10-07,9,Tuesday,10,carousel,Customer favorite is back. Call for appointment #SupportLocal #Jerusalem #Coffee #Palestine #SmallBusiness,106,5,1,167,14,0.0,Arabic,True,True,38.0,False,False,False,False
Al-Amal Dental Clinic,Clinic,3179,2026-01-31,2,Saturday,1,reel,Fresh and ready today. DM us ???,32,8,2,66,8,6396.0,Arabic,True,False,0.0,True,False,False,True
Olive Branch Books,Bookstore,4379,2025-09-20,9,Saturday,9,image,Limited offer for this week.,28,6,0,152,7,0.0,Arabic,False,False,0.0,False,False,False,False
Nablus Sweet Oven,Bakery,10928,2025-10-30,7,Thursday,10,reel,Ramadan-style menu ideas.,25,3,3,248,12,5621.0,Arabic,False,False,0.0,False,False,False,False
Ramallah Roastery,Cafe,4324,2025-07-05,8,Saturday,7,image,Behind the scenes from our team.,32,2,3,151,8,0.0,Arabic,False,False,0.0,False,False,False,False
Nablus Printing Studio,Local Services,3287,2025-11-15,17,Saturday,11,carousel,Fresh and ready today. | ahlan ya shabab ????,45,4,1,101,3,0.0,Arabic,False,False,0.0,False,False,False,True
Ramallah Family Clinic,Clinic,2924,2026-02-10,15,Tuesday,2,carousel,Ramadan-style menu ideas. Order on WhatsApp,43,5,3,75,4,0.0,English,True,True,0.0,False,False,False,False
Nablus Stationery & Books,Bookstore,753,2025-08-25,3,Monday,8,carousel,Behind the scenes from our team. Visit us today | ahlan ya shabab ?????????,75,2,5,18,2,0.0,English,True,False,0.0,True,False,True,True
Nablus Iron Club,Gym,2735,2025-12-31,22,Wednesday,12,carousel,"Support local, shop Palestinian. Book now",41,5,0,114,10,0.0,Arabic,True,False,0.0,True,False,False,True
Nablus Iron Club,Gym,2735,2026-01-24,15,Saturday,1,reel,Community vibes in Nablus. Call for appointment ???? #Coffee #Ramallah #Gaza #Food #Bookstore #Palestine,104,6,2,91,8,4207.0,English,True,False,0.0,False,False,True,False
