business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
Al Balad Grill,restaurant,7661,2025-12-04,21,Thursday,12,reel,اليوم عنا أكل طيب شوفوا الريل. 🥙 😍,34,0,2,3761,120,27741,Arabic,False,False,0.0,False,False,False,False
Canaan Threads,store,14704,2025-08-01,21,Friday,8,image,وصلت تشكيلة جديدة صورة جديدة. ✨,31,0,1,711,59,4702,Arabic,False,False,0.0,False,False,False,True
Gaza Seaside Kitchen,restaurant,4565,2025-07-22,3,Tuesday,7,image,اليوم عنا أكل طيب صورة جديدة. #صيدلية #عروض,43,2,0,226,28,4199,Arabic,False,False,0.0,False,False,False,False
Canaan Threads,store,14812,2025-09-10,19,Wednesday,9,image,وصلت تشكيلة جديدة صورة جديدة. زورونا بفرعنا في Hebron اتصل فينا وخليها علينا ☕ 🧴 💪 😍,84,0,4,1243,157,7515,Arabic,True,False,0.0,True,False,False,True
Al Amal Dental,clinic,4571,2025-11-24,12,Monday,11,reel,صحتكم أولويتنا شوفوا الريل. زورونا بفرعنا في Rafah منتج فلسطيني ابعتولنا DM وخليها علينا,88,0,0,230,12,3157,Arabic,True,False,0.0,True,False,True,False
Strong Roots Gym,gym,698,2025-02-28,22,Friday,2,carousel,جاهزين للتمرين سوايب وشوفوا التفاصيل. شو رأيكم؟ زورونا بفرعنا في Qalqilya اطلب الآن وخليها علينا #تعليم #SupportLocal,117,2,0,64,6,557,Arabic,True,False,0.0,True,False,False,True
Sama Beauty Studio,beauty_salon,1591,2025-08-09,13,Saturday,8,image,دلعي حالك صورة جديدة. #Ramallah #عيادة,38,2,0,134,14,1421,Mixed,False,False,0.0,True,False,False,True
Tulkarm Streetwear,store,34460,2025-03-08,20,Saturday,3,reel,وصلت تشكيلة جديدة شوفوا الـ reel. موجودين في Jenin today. DM us وخلينا نجهزلك طلبك. ☕ 🧴 😍 💪,91,0,4,10735,1507,63526,Mixed,True,False,0.0,True,False,False,False
Saj & Manakish House,bakery,9641,2025-01-14,12,Tuesday,1,reel,طازة من الفرن شوفوا الـ reel. احنا جاهزين موجودين في Qalqilya today. DM us وخلينا نجهزلك طلبك. 🛍️ 🩺 #Palestine,110,1,2,913,107,16306,Mixed,True,False,0.0,True,False,False,True
Gaza Seaside Kitchen,restaurant,4532,2025-08-15,21,Friday,8,reel,اليوم عنا أكل طيب شوفوا الريل. أهلا بالناس الحلوة اطلب الآن وخليها علينا,72,0,0,1174,110,22428,Arabic,True,False,0.0,False,False,False,True
Gaza Glow Salon,beauty_salon,1108,2025-12-09,21,Tuesday,12,carousel,دلعي حالك سوايب وشوفوا التفاصيل. احنا جاهزين زورونا بفرعنا في Hebron اطلب الآن وخليها علينا #Palestine #قهوة #جيم #SupportLocal #عيادة,134,5,0,133,7,1271,Arabic,True,False,0.0,True,False,False,True
Tulkarm Streetwear,store,34273,2025-11-27,21,Thursday,11,carousel,وصلت تشكيلة جديدة سوايب وشوفوا التفاصيل. الكمية محدودة 20% خصم لفترة محدودة زورونا بفرعنا في Jenin ادعم المحلي اتصل فينا وخليها علينا #عروض #قهوة #تعليم,152,3,0,5263,761,31407,Arabic,True,True,20.0,True,False,True,False
Olive Tree Learning,education_center,8946,2025-01-22,14,Wednesday,1,reel,استنونا بدورة جديدة شوفوا الـ reel. صنع محلي زورونا وخلينا نجهزلك طلبك. #Palestine #قهوة #مخبز,94,3,0,742,74,10664,Mixed,True,False,0.0,False,False,True,True
Jericho Physio Hub,clinic,21244,2025-12-03,14,Wednesday,12,video,صحتكم أولويتنا فيديو جديد. شو رأيكم؟ limited offer لفترة محدودة 10% off اليوم! موجودين في Ramallah today. زورونا وخلينا نجهزلك طلبك. 🍕 ✨ ☕ #Ramallah #SupportLocal #تعليم #عيادة #مخبز,182,5,3,1554,162,19440,Mixed,True,True,10.0,True,False,False,True
Bethlehem Brew Bar,cafe,2297,2025-12-21,21,Sunday,12,carousel,أجواء ولا أروع Swipe وشوفوا الباقي. يا جماعة limited offer لفترة محدودة 50% off اليوم! موجودين في Jericho today. اطلب الآن وخلينا نجهزلك طلبك. #قهوة #الكترونيات,160,2,0,353,70,3065,Mixed,True,True,50.0,True,False,False,True
Nablus Skin Center,clinic,12683,2025-09-20,19,Saturday,9,image,صحتكم أولويتنا صورة جديدة. شو رأيكم؟ ادعم المحلي احجز الآن وخليها علينا 🍰 🧴 ✨ 🩺 #Nablus #مطاعم,94,2,4,963,34,10525,Arabic,True,False,0.0,True,False,True,True
Saj & Manakish House,bakery,9747,2025-11-15,14,Saturday,11,reel,طازة من الفرن شوفوا الريل. احنا جاهزين زورونا بفرعنا في Qalqilya احجز الآن وخليها علينا 😍 🎉 🧴,93,0,3,4410,243,25959,Arabic,True,False,0.0,True,False,False,True
Olive Tree Learning,education_center,8835,2025-06-26,21,Thursday,6,image,استنونا بدورة جديدة صورة جديدة. sale اليوم 30% off اليوم! موجودين في Hebron today. Order now وخلينا نجهزلك طلبك. 🩺 🔥 #عروض #Palestine #تسوق,139,3,2,510,76,6455,Mixed,True,True,30.0,True,False,False,False
Tulkarm Streetwear,store,34279,2025-07-24,21,Thursday,7,carousel,وصلت تشكيلة جديدة Swipe وشوفوا الباقي. يا جماعة 🍕 📍 ✅ #SupportLocal #الكترونيات,79,2,3,8177,532,47472,Mixed,False,False,0.0,False,False,False,True
Gaza Gadget Shop,electronics_store,48978,2025-02-08,12,Saturday,2,reel,وصلت أجهزة جديدة شوفوا الريل. أهلا بالناس الحلوة زورونا بفرعنا في Gaza عيد مبارك #Palestine #صيدلية,99,2,0,14346,1260,115515,Arabic,True,False,0.0,True,True,False,True
Gaza Glow Salon,beauty_salon,1160,2025-05-15,14,Thursday,5,carousel,دلعي حالك Swipe وشوفوا الباقي. شو رأيكم؟ sale اليوم 25% off اليوم!,66,0,0,31,2,497,Mixed,False,True,25.0,False,False,False,True
Jericho Physio Hub,clinic,21464,2025-09-10,20,Wednesday,9,image,صحتكم أولويتنا صورة جديدة. احنا جاهزين #Palestine #تعليم #SupportLocal,70,3,0,423,28,4719,Mixed,False,False,0.0,False,False,False,True
Hebron Study Hub,education_center,25487,2025-03-05,22,Wednesday,3,reel,استنونا بدورة جديدة شوفوا الريل. أهلا بالناس الحلوة خصم 20% خصم لفترة محدودة زورونا وخليها علينا #مطاعم #الكترونيات,115,2,0,2757,468,25638,Arabic,True,True,20.0,False,False,False,True
Canaan Threads,store,14532,2025-05-06,5,Tuesday,5,carousel,وصلت تشكيلة جديدة Swipe وشوفوا الباقي. أهلا بالناس الحلوة limited offer لفترة محدودة 10% off اليوم! موجودين في Hebron today. ☕ ✨ 😍 🔥 #Hebron #عروض #قهوة,152,3,4,2222,122,15894,Mixed,False,True,10.0,True,False,False,True
TechSouq Ramallah,electronics_store,53715,2025-09-12,19,Friday,9,image,Latest gadgets in store Photo drop. Available now in Qalqilya. من قلب فلسطين,76,0,0,1744,110,22472,English,False,False,0.0,True,False,True,False
Bethlehem Lash Bar,beauty_salon,13442,2025-04-10,1,Thursday,4,reel,دلعي حالك شوفوا الريل. أهلا بالناس الحلوة زورونا وخليها علينا 🔥 #صيدلية,71,1,1,2060,302,38300,Arabic,True,False,0.0,False,False,False,True
Qalqilya Home Store,store,54830,2025-11-12,14,Wednesday,11,carousel,وصلت تشكيلة جديدة سوايب وشوفوا التفاصيل. #Palestine #صيدلية,59,2,0,7060,779,58203,Arabic,False,False,0.0,False,False,False,False
Nablus Coffee Corner,cafe,3122,2025-12-15,22,Monday,12,image,أجواء ولا أروع صورة جديدة. DM us وخلينا نجهزلك طلبك. 📍 🎉 #جيم #تعليم #قهوة,74,3,2,448,28,2690,Mixed,True,False,0.0,False,False,False,True
Nablus Mobile Center,electronics_store,38474,2025-06-02,14,Monday,6,carousel,وصلت أجهزة جديدة Swipe وشوفوا الباقي. زورونا وخلينا نجهزلك طلبك. 💪,66,0,1,2427,249,36957,Mixed,True,False,0.0,False,False,False,False
Nablus Health Point,pharmacy,5293,2025-05-03,18,Saturday,5,image,صحتك بتهمنا صورة جديدة. موجودين في Ramallah today. #Palestine #قهوة #تعليم,74,3,0,422,46,5719,Mixed,False,False,0.0,True,False,False,True
Nablus Mobile Center,electronics_store,39855,2025-03-31,13,Monday,3,reel,وصلت أجهزة جديدة شوفوا الـ reel. DM us وخلينا نجهزلك طلبك. #Palestine #صيدلية #SupportLocal #جيم #تسوق,102,5,0,10652,1314,145590,Mixed,True,False,0.0,False,False,False,False
Ramallah Care Pharmacy,pharmacy,13523,2025-01-08,18,Wednesday,1,carousel,صحتك بتهمنا Swipe وشوفوا الباقي. موجودين في Rafah today. 📍 💪,60,0,2,542,47,11644,Mixed,False,False,0.0,True,False,False,False
Jericho Physio Hub,clinic,21826,2025-07-04,20,Friday,7,reel,صحتكم أولويتنا شوفوا الريل. لفترة محدودة 25% خصم لفترة محدودة زورونا وخليها علينا,81,0,0,6913,972,92428,Arabic,True,True,25.0,False,False,False,False
TechSouq Ramallah,electronics_store,54942,2025-04-14,18,Monday,4,reel,وصلت أجهزة جديدة شوفوا الريل. احنا جاهزين زورونا بفرعنا في Qalqilya راسلونا وخليها علينا 🍰 #قهوة #تعليم,103,2,1,1537,203,38236,Arabic,True,False,0.0,True,False,False,True
Qalqilya Home Store,store,54319,2025-03-11,14,Tuesday,3,carousel,New arrivals just landed Swipe to see more. Visit us. #Palestine #SupportLocal,78,2,0,2854,397,37720,English,True,False,0.0,False,False,False,False
Nablus Coding Kids,education_center,960,2025-05-07,12,Wednesday,5,reel,استنونا بدورة جديدة شوفوا الريل. خصم 10% خصم لفترة محدودة زورونا وخليها علينا 🛍️ #عروض,86,1,1,251,31,3954,Arabic,True,True,10.0,False,False,False,False
Ramallah English Corner,education_center,2536,2025-05-02,19,Friday,5,image,استنونا بدورة جديدة صورة جديدة. زورونا بفرعنا في Bethlehem اتصل فينا وخليها علينا #Bethlehem #تعليم #الكترونيات,111,3,0,61,4,1039,Arabic,True,False,0.0,True,False,False,False
Ramallah Roastery,cafe,6624,2025-08-26,22,Tuesday,8,video,أجواء ولا أروع فيديو جديد. يا جماعة موجودين في Tulkarm today. DM us وخلينا نجهزلك طلبك. 🧴 💪 #قهوة #Palestine,108,2,2,775,92,5942,Mixed,True,False,0.0,True,False,False,True
Jericho Physio Hub,clinic,20676,2025-06-14,16,Saturday,6,carousel,صحتكم أولويتنا سوايب وشوفوا التفاصيل. زورونا بفرعنا في Ramallah ابعتولنا DM وخليها علينا #عيادة #عروض #مطاعم #Palestine #تسوق,125,5,0,729,56,9451,Arabic,True,False,0.0,True,False,False,True
Ramallah Care Pharmacy,pharmacy,13244,2025-09-09,17,Tuesday,9,reel,صحتك بتهمنا شوفوا الـ reel. DM us وخلينا نجهزلك طلبك.,53,0,0,3028,288,31124,Mixed,True,False,0.0,False,False,False,False
Sama Beauty Studio,beauty_salon,1564,2025-07-11,4,Friday,7,image,دلعي حالك صورة جديدة. أهلا بالناس الحلوة رمضان كريم #مطاعم #SupportLocal #تعليم,79,3,0,172,23,1532,Mixed,False,False,0.0,False,True,False,True
Al Amal Dental,clinic,4601,2025-12-17,19,Wednesday,12,carousel,صحتكم أولويتنا سوايب وشوفوا التفاصيل. احنا جاهزين زورونا بفرعنا في Rafah,72,0,0,275,32,5495,Arabic,True,False,0.0,True,False,False,True
Jericho Date Bakery,bakery,2869,2025-04-02,12,Wednesday,4,video,طازة من الفرن فيديو جديد. احنا جاهزين اتصل فينا وخليها علينا #عيادة #مطاعم,74,2,0,259,37,3175,Arabic,True,False,0.0,False,False,False,True
Qalqilya Home Store,store,53077,2025-06-17,18,Tuesday,6,image,وصلت تشكيلة جديدة صورة جديدة. زورونا بفرعنا في Tulkarm ابعتولنا DM وخليها علينا 🛍️ 🍰,84,0,2,6192,737,64582,Arabic,True,False,0.0,True,False,False,True
Gaza Seaside Kitchen,restaurant,4389,2025-08-09,13,Saturday,8,reel,اليوم عنا أكل طيب شوفوا الـ reel. شو رأيكم؟ موجودين في Bethlehem today. زورونا وخلينا نجهزلك طلبك. 🍕 🩺 #تعليم,109,1,2,903,112,5479,Mixed,True,False,0.0,True,False,False,True
Hebron Fresh Bakery,bakery,1445,2025-08-23,22,Saturday,8,image,طازة من الفرن صورة جديدة. أهلا بالناس الحلوة زورونا وخليها علينا 💪 🍕 🍰 📚 #قهوة,78,1,4,325,19,1991,Arabic,True,False,0.0,False,False,False,True
Bethlehem Brew Bar,cafe,2176,2025-10-09,21,Thursday,10,image,أجواء ولا أروع صورة جديدة. منتج فلسطيني ابعتولنا DM وخلينا نجهزلك طلبك. #قهوة #عيادة #SupportLocal,98,3,0,193,25,1150,Mixed,True,False,0.0,False,False,True,False
Nablus Sweet Oven,bakery,1847,2025-02-13,14,Thursday,2,image,طازة من الفرن صورة جديدة. راسلونا وخليها علينا 📍 💪 #Palestine,61,1,2,151,22,1639,Arabic,True,False,0.0,False,False,False,True
Nablus Mobile Center,electronics_store,40209,2025-03-14,0,Friday,3,image,وصلت أجهزة جديدة صورة جديدة. زورونا بفرعنا في Jericho رمضان كريم اطلب الآن وخليها علينا,87,0,0,1421,77,9330,Arabic,True,False,0.0,True,True,False,True
Bethlehem Brew Bar,cafe,2201,2025-11-24,14,Monday,11,reel,أجواء ولا أروع شوفوا الريل. صنع محلي 🥙 🧴 📍 #مطاعم #جيم #تعليم #عروض,67,4,3,524,58,4108,Arabic,False,False,0.0,False,False,True,True
Nablus Mobile Center,electronics_store,40244,2025-10-30,21,Thursday,10,image,وصلت أجهزة جديدة صورة جديدة. يا جماعة عرض خاص 25% خصم لفترة محدودة زورونا بفرعنا في Jericho راسلونا وخليها علينا #عروض #Palestine,129,2,0,5317,204,36384,Arabic,True,True,25.0,True,False,False,True
Nablus Skin Center,clinic,13372,2025-05-21,14,Wednesday,5,image,صحتكم أولويتنا صورة جديدة. ابعتولنا DM وخليها علينا 🍕 🧴,55,0,2,340,30,7344,Arabic,True,False,0.0,False,False,False,True
Ramallah Care Pharmacy,pharmacy,13210,2025-11-20,14,Thursday,11,reel,صحتك بتهمنا شوفوا الـ reel. أهلا بالناس الحلوة,46,0,0,3908,357,42718,Mixed,False,False,0.0,False,False,False,True
Jericho Date Bakery,bakery,2768,2025-09-08,20,Monday,9,image,طازة من الفرن صورة جديدة. احنا جاهزين موجودين في Jericho today. ابعتولنا DM وخلينا نجهزلك طلبك.,95,0,0,121,10,1878,Mixed,True,False,0.0,True,False,False,True
Jericho Physio Hub,clinic,21832,2025-05-26,21,Monday,5,image,صحتكم أولويتنا صورة جديدة. يا جماعة موجودين في Ramallah today. من قلب فلسطين اطلب الآن وخلينا نجهزلك طلبك.,106,0,0,438,50,15582,Mixed,True,False,0.0,True,False,True,True
Strong Roots Gym,gym,700,2025-02-16,21,Sunday,2,carousel,جاهزين للتمرين سوايب وشوفوا التفاصيل. احنا جاهزين زورونا بفرعنا في Qalqilya صنع محلي احجز الآن وخليها علينا 🩺 🍕 ✨ #جيم,118,1,3,51,4,1029,Arabic,True,False,0.0,True,False,True,True
Nablus Mobile Center,electronics_store,40667,2025-11-12,19,Wednesday,11,reel,وصلت أجهزة جديدة شوفوا الـ reel. شو رأيكم؟ خصم special 10% off اليوم! موجودين في Jericho today. زورونا وخلينا نجهزلك طلبك. #الكترونيات #Palestine,145,2,0,12810,1048,93054,Mixed,True,True,10.0,True,False,False,True
Nablus Bites,restaurant,12612,2025-01-07,1,Tuesday,1,video,Fresh flavors today New video up. sale: 40% off. Order now. #Hebron #تعليم #مخبز,80,3,0,609,92,5548,English,True,True,40.0,True,False,False,False
Saj & Manakish House,bakery,9402,2025-11-29,22,Saturday,11,reel,طازة من الفرن شوفوا الريل. يا جماعة 💪 🎉 🧴 🍰 #Palestine #الكترونيات,66,2,4,360,40,9326,Arabic,False,False,0.0,False,False,False,True
Nablus Skin Center,clinic,12871,2025-02-02,12,Sunday,2,image,Care you can trust Photo drop. Visit us. ☕ #عيادة,49,1,1,139,15,5125,English,True,False,0.0,False,False,False,False
Al Amal Dental,clinic,4700,2025-05-08,18,Thursday,5,reel,صحتكم أولويتنا شوفوا الـ reel. خصم special 10% off اليوم! موجودين في Rafah today. من قلب فلسطين ابعتولنا DM وخلينا نجهزلك طلبك. 🍰 ✅ ☕ #عيادة #Palestine #جيم #عروض,162,4,3,2081,57,26091,Mixed,True,True,10.0,True,False,True,True
Tulkarm Streetwear,store,34222,2025-06-07,14,Saturday,6,image,وصلت تشكيلة جديدة صورة جديدة. أهلا بالناس الحلوة الكمية محدودة 50% خصم لفترة محدودة #Palestine,94,1,0,1902,261,23354,Arabic,False,True,50.0,False,False,False,True
Nablus Coding Kids,education_center,944,2025-06-17,12,Tuesday,6,image,استنونا بدورة جديدة صورة جديدة. يا جماعة الكمية محدودة 20% خصم لفترة محدودة ابعتولنا DM وخليها علينا 🧴 🍰 🩺 #عروض,112,1,3,39,3,550,Arabic,True,True,20.0,False,False,False,True
Gaza Glow Salon,beauty_salon,1184,2025-10-09,20,Thursday,10,image,دلعي حالك صورة جديدة. شو رأيكم؟ زورونا بفرعنا في Hebron زورونا وخليها علينا ☕,77,0,1,86,3,1073,Arabic,True,False,0.0,True,False,False,True
Nablus Coffee Corner,cafe,3039,2025-10-21,12,Tuesday,10,reel,أجواء ولا أروع شوفوا الـ reel. يا جماعة ابعتولنا DM وخلينا نجهزلك طلبك. ☕ 🥙 📚 🎉 #قهوة #Palestine #SupportLocal #تسوق,116,4,4,1329,98,12803,Mixed,True,False,0.0,False,False,False,True
Canaan Threads,store,14888,2025-04-23,20,Wednesday,4,image,وصلت تشكيلة جديدة صورة جديدة. شو رأيكم؟ خصم special 50% off اليوم! زورونا وخلينا نجهزلك طلبك. 📚 🍰 🧴 #مطاعم,106,1,3,2375,234,14784,Mixed,True,True,50.0,False,False,False,True
Nablus Bites,restaurant,12794,2025-11-05,2,Wednesday,11,image,اليوم عنا أكل طيب صورة جديدة. عرض خاص 20% خصم لفترة محدودة زورونا بفرعنا في Hebron 💪 #الكترونيات #تعليم,103,2,1,1029,130,12180,Arabic,True,True,20.0,True,False,False,False
Tulkarm Streetwear,store,33634,2025-12-07,14,Sunday,12,reel,وصلت تشكيلة جديدة شوفوا الريل. زورونا بفرعنا في Jenin #Palestine #جيم,69,2,0,1674,211,35805,Arabic,True,False,0.0,True,False,False,False
TechSouq Ramallah,electronics_store,53603,2025-08-17,12,Sunday,8,image,وصلت أجهزة جديدة صورة جديدة. من قلب فلسطين راسلونا وخليها علينا #SupportLocal #قهوة,83,2,0,2459,320,32981,Arabic,True,False,0.0,False,False,True,True
Gaza Seaside Kitchen,restaurant,4554,2025-02-17,5,Monday,2,image,Fresh flavors today Photo drop. 🛍️ #Bethlehem #مطاعم #تسوق #تعليم #الكترونيات,77,5,1,80,7,639,English,False,False,0.0,True,False,False,False
Shifa Family Clinic,clinic,1386,2025-01-14,14,Tuesday,1,image,صحتكم أولويتنا صورة جديدة. موجودين في Gaza today. زورونا وخلينا نجهزلك طلبك. 📍 🍕 ☕ 🧴 #عيادة #جيم,96,2,4,118,11,1045,Mixed,True,False,0.0,True,False,False,False
Ramallah English Corner,education_center,2541,2025-08-03,8,Sunday,8,video,استنونا بدورة جديدة فيديو جديد. موجودين في Bethlehem today. زورونا وخلينا نجهزلك طلبك.,86,0,0,154,7,2779,Mixed,True,False,0.0,True,False,False,False
Gaza Seaside Kitchen,restaurant,4540,2025-12-16,13,Tuesday,12,reel,Fresh flavors today Watch the reel. Available now in Bethlehem.,63,0,0,791,30,8625,English,False,False,0.0,True,False,False,False
Bethlehem Lash Bar,beauty_salon,13581,2025-02-21,21,Friday,2,video,دلعي حالك فيديو جديد. أهلا بالناس الحلوة limited offer لفترة محدودة 25% off اليوم! 🍰 ☕ 🔥 #Bethlehem,99,1,3,4364,169,39528,Mixed,False,True,25.0,True,False,False,True
Ramallah Roastery,cafe,6754,2025-08-15,22,Friday,8,carousel,أجواء ولا أروع سوايب وشوفوا التفاصيل. زورونا بفرعنا في Tulkarm ✨ 📚 🎉 ✅ #SupportLocal,84,1,4,594,47,4506,Arabic,True,False,0.0,True,False,False,True
Saj & Manakish House,bakery,9308,2025-03-05,20,Wednesday,3,reel,طازة من الفرن شوفوا الريل. شو رأيكم؟ ابعتولنا DM وخليها علينا 🧴 ☕ #Palestine,76,1,2,858,132,24023,Arabic,True,False,0.0,False,False,False,True
