business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,anomaly_label,anomaly_type,best_method,best_setting,anomaly_detection_scope,anomaly_strength
متجر الأميرات للسيدات,Fashion,5600.0,2026-05-04,0.0,Monday,5,reel,شفتي أرقى من هيك موديل قبل؟ 🔥🔥🔥🔥 بضاعة العيد السنة غيررر، حصريًا في متجرنا متوفر نمر من ٤٠ ل ٥٨ التوصيل متاح لكل المحافظات 🚚🚚 عرض أقل,133,0,6,170.0,20.0,1000.0,Arabic,True,True,0.0,False,True,False,True,1.0,,190.0,0.0339285714285714,0.0303571428571428,0.0035714285714285,0.1785714285714285,0.19,2026-05-04/2026-05-10,0,1,night,medium,none,many,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0339285714285714
Angel shop PS,Fashion,14000.0,2025-12-28,0.0,Sunday,12,reel,إحرام كبيسات مصنوع من قطن طبيعي فاخر بعناية عالية، يمنحك نعومة فائقة وتهوية مريحة مع ثبات عملي يرافقك أثناء أداء النسك بهدوء واطمئنان. غير شفاف ومناسب مع أغلب الأحجام. مصمم ليبقيك ثابتة مع الحركة دون تثبيت أو انشغال. لأن الخشوع يبدأ من اختيارك الصحيح. اطلبيه الآن 🤍,265,0,1,614.0,139.0,260000.0,Arabic,True,True,0.0,False,True,False,True,0.0,,753.0,0.0537857142857142,0.0438571428571428,0.0099285714285714,18.571428571428573,0.0028961538461538,2025-12-22/2025-12-28,0,1,night,long,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0537857142857142
Hala Fashion هلا فاشن,Fashion,1000.0,2026-05-06,0.0,Wednesday,5,reel,"استغلوا العروض 🔥🔥 4 بلايز 200 شيكل 🔥
متوفر شحن للبلد ✅ #البسة
اضغطوا رابط الواتساب للطلب
https://wa.me/message/RFDIULPVLDVTN1
ملاحظة: متوفر كتالوج كامل لجميع الملابس 👕
عروضات مستمرة متابعة لصفحتنا ليوصلكم كل جديد هلا فاشن 💚🤍
متوفر توصيل لجميع المناطق 🚚
لطلبك ابعت واتساب على الرقم: 0595426355 📲
📍 هلا فاشن أو اضغط خرائط
جنين – شارع أبو بكر – قريب من مطعم الأقصى.",362,1,10,50.0,3.0,4000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,1.0,,53.0,0.053,0.05,0.003,4.0,0.01325,2026-05-04/2026-05-10,0,1,night,long,few,many,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.053
REXOS Café & Restaurant,Cafes/Restaurants,42000.0,2025-12-14,0.0,Sunday,12,Image,بكرا مباراة الاردن 🇯🇴 VS السعودية 🇸🇦 اجواء حماسية ونفقة حلوة بمطعم ريكسوس 😍🔥⚽️ ⚠️⚠️ اللي يتوقع نتيجة المباراة رح يدخل السحب على هدايا وخصومات من شركة Mas store ومحلات Arena للملابس 🧸🛍️ احجزو مكانكم من هلا وكونو معنا بكل لحظة 😍 للحجز اما عن طريق رسائل الصفحة او الواتساب على رقم ☎️0597600024,350,0,10,66.0,284.0,0.0,Arabic,True,True,0.0,False,False,True,True,0.0,,350.0,0.0083333333333333,0.0015714285714285,0.0067619047619047,0.0,0.0,2025-12-08/2025-12-14,0,0,night,long,none,many,high,medium,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0083333333333333
REXOS Café & Restaurant,Cafes/Restaurants,42000.0,2025-07-09,0.0,Wednesday,7,Image,التوجيهي خلص، والخصم بلش! 🤩 قررنا بريكسوس نكافئ كل طلاب التوجيهي ونعطيهم خصم 15% على الفاتورة 💯 بعد التعب، تعالو انبسطوا بأشهى الأكلات وخصم مرتب 😍 📍 موقعنا نابلس رفيديا الشارع الرئيسي,208,0,6,1.0,0.0,0.0,Arabic,True,True,15.0,True,False,False,True,0.0,,1.0,2.380952380952381e-05,2.380952380952381e-05,0.0,0.0,0.0,2025-07-07/2025-07-13,0,0,night,long,none,many,low,medium,0,0,0,-1,negative_anomaly,isolation_forest,contamination=0.05,sector_based,-2.380952380952381e-05
REXOS Café & Restaurant,Cafes/Restaurants,42000.0,2026-04-18,0.0,Saturday,4,Reel,بصراحة مافي اشي اهم من الاكل؟ 😂💐,35,0,2,5600.0,20.0,8100.0,Arabic,False,False,0.0,False,False,False,True,0.0,,5620.0,0.1338095238095238,0.1333333333333333,0.0004761904761904,0.1928571428571428,0.6938271604938272,2026-04-13/2026-04-19,0,1,night,short,none,few,high,medium,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1338095238095238
Abu shukri restaurant-مطعم حمص ابو شكري,Cafes/Restaurants,2900.0,2022-05-08,0.0,Sunday,5,post,زبائن مطعم أبو شكري الكرام ابتداءً من غدا الاثنين سوف تكون العطلة الأسبوعية للمطعم يوم الاثنين Monday is our day off,119,0,0,65.0,25.0,0.0,Arabic/English Mixed,False,False,0.0,False,False,False,False,0.0,,90.0,0.0310344827586206,0.0224137931034482,0.0086206896551724,0.0,0.0,2022-05-02/2022-05-08,0,0,night,medium,none,none,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0310344827586206
Mazaj Oriental - مزاج الشرقي,Cafes/Restaurants,22800.0,2023-06-27,0.0,Tuesday,6,reel,لمة العيد وأجواء الفرحة أكيد بنكملها معكم في كل اللحظات. بتفاصيل شرقية بتزيد جمال لجمعتكم، كل عام وأنتم بخير بمناسبة #عيد_الأضحى المبارك ✨,153,1,1,1858.0,8.0,61000.0,Arabic,False,True,0.0,False,True,False,True,0.0,,1866.0,0.0818421052631579,0.0814912280701754,0.0003508771929824,2.675438596491228,0.0305901639344262,2023-06-26/2023-07-02,0,1,night,long,few,few,high,medium,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0818421052631579
KFC Palestine,Cafes/Restaurants,59900.0,2023-09-14,0.0,Thursday,9,reel,🥰🥰 #دجاج #كنتاكي #لذيذ #يمي #فلسطين #رام_الله #طولكرم #جنين #قلقيلية #الخليل #نابلس #بيت_لحم #حوارة #اريحا #توصيل kfc #palestine #yummy #delicious #follow #like #delivery #توصيل_طلبات,203,22,2,1449.0,9.0,451000.0,Arabic/English Mixed,True,True,0.0,True,False,True,True,0.0,,1458.0,0.0243405676126878,0.0241903171953255,0.0001502504173622,7.529215358931553,0.0032328159645232,2023-09-11/2023-09-17,0,1,night,long,many,few,high,medium,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0243405676126878
KFC Palestine,Cafes/Restaurants,59900.0,2023-01-12,0.0,Thursday,1,reel,جديد من دجاج كنتاكي.. ساندويش تشيزرلا.. اطلق العنان لشهيتك 😅 تشييييزرلاااا.. ساندويش كبييير.. كله جبنة وخطير 🧀 الآن في جميع فروع دجاج كنتاكي 😍 زورونا في فروعنا، أو اطلبوها من خلال الاتصال على الرقم: 170088777 📞 022948805 📞 #دجاج #كنتاكي #لذيذ #يمي #فلسطين #رام_الله #طولكرم #جنين #قلقيلية #الخليل #نابلس #بيت_لحم #حوارة #اريحا #توصيل kfc #palestine #yummy #delicious #follow #like #delivery #توصيل_طلبات,459,22,7,1060.0,10.0,748000.0,Arabic/English Mixed,True,True,0.0,True,False,True,True,0.0,,1070.0,0.0178631051752921,0.0176961602671118,0.0001669449081803,12.487479131886476,0.0014304812834224,2023-01-09/2023-01-15,0,1,night,long,many,many,high,medium,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0178631051752921
Robian Restaurant,Cafes/Restaurants,6500.0,2024-12-18,0.0,Wednesday,12,Image,صحن نودلز وخضار مقرمشه مع الدجاج او الشريمبس، وعيش جو وبوارات تدفي القلب ❤️ 026638484 مطعم روبيان - القدس #نودلز_روبيان 🍜 التوصيل متاح الى كل مناطق #القدس,178,3,2,920.0,7.0,0.0,Arabic,True,True,0.0,True,False,True,True,1.0,,927.0,0.1426153846153846,0.1415384615384615,0.001076923076923,0.0,0.0,2024-12-16/2024-12-22,0,0,night,long,few,few,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1426153846153846
Robian Restaurant,Cafes/Restaurants,6500.0,2024-11-18,0.0,Monday,11,Reel,البحر عالم لحاله، كل منطقه #القدس 026638484,49,1,0,771.0,5.0,42000.0,Arabic,True,False,0.0,True,False,True,True,0.0,,776.0,0.1193846153846153,0.1186153846153846,0.0007692307692307,6.461538461538462,0.0184761904761904,2024-11-18/2024-11-24,0,1,night,short,few,none,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1193846153846153
Robian Restaurant,Cafes/Restaurants,6500.0,2024-10-06,0.0,Sunday,10,Image,الأفضل يعني الأفضل #سوشي_روبيان ✅ القدس - شقفاط - الشارع الرئيسي 026638484,87,1,1,863.0,12.0,0.0,Arabic,True,True,0.0,True,False,True,True,0.0,,875.0,0.1346153846153846,0.1327692307692307,0.0018461538461538,0.0,0.0,2024-09-30/2024-10-06,0,0,night,medium,few,few,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1346153846153846
Robian Restaurant,Cafes/Restaurants,6500.0,2024-10-01,0.0,Tuesday,10,Image,الأفضل يعني الأفضل #سوشي_روبيان ✅ القدس - شقفاط - الشارع الرئيسي 026638484,87,1,1,894.0,14.0,0.0,Arabic,True,True,0.0,True,False,True,True,0.0,,908.0,0.1396923076923077,0.1375384615384615,0.0021538461538461,0.0,0.0,2024-09-30/2024-10-06,0,0,night,medium,few,few,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1396923076923077
Shawerma w Mashawi Al Helou,Cafes/Restaurants,81000.0,2026-04-22,0.0,Wednesday,4,Reel,"✨ شو بتستنى؟ ""الحلو"" دايمًا هو الحل! 👑 أقدم وأشهر مطعم شاورما ومشاوي في غزة يستقبلكم بأشهى الأطباق.. ✅ الطعم الأذكى.. ✅ السعر الأنسب.. ✅ الخبرة اللي بتفرق. 📍 شرفونا في المطعم أو اطلبوا! على الرقم: 📞 0592108723 #غزة #مطعم_الحلو #ملوك_الشاورما #مشاوي_غزة #طعم_زمان",340,5,7,2100.0,10.0,3100.0,Arabic,True,True,0.0,True,False,True,True,0.0,,2110.0,0.0260493827160493,0.0259259259259259,0.0001234567901234,0.0382716049382716,0.6806451612903226,2026-04-20/2026-04-26,0,1,night,long,many,many,high,large,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0260493827160493
Al Jazeera English,Influencers,1100000.0,2025-01-15,0.0,Wednesday,1,reel,Al Jazeera’s Hind Khoudary says there is frustration and despair in Gaza over the US announcement of phase 2 of a ceasefire plan.,136,3,0,13500.0,180.0,206000.0,English,False,False,0.0,True,False,True,False,0.0,,13680.0,0.0124363636363636,0.0122727272727272,0.0001636363636363,0.1872727272727272,0.0664077669902912,2025-01-13/2025-01-19,0,1,night,medium,few,none,high,large,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0124363636363636
Nour Alsaqa,Influencers,1100000.0,2024-12-31,0.0,Tuesday,12,reel,"This was supposed to be a silly little social media video, yet it uncovered trauma and the magnitude of living under the Israeli occupation.",144,0,0,140000.0,2900.0,2300000.0,English,False,False,0.0,False,False,True,False,0.0,,142900.0,0.1299090909090909,0.1272727272727272,0.0026363636363636,2.090909090909091,0.0621304347826087,2024-12-30/2025-01-05,0,1,night,long,none,none,high,large,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1299090909090909
aburob,Influencers,5700000.0,2026-02-08,0.0,Sunday,2,reel,ترقبوا الفيديو على قناتي ❤️😇,28,0,2,483000.0,9550.0,20400000.0,Arabic,True,True,0.0,True,False,False,True,0.0,,492550.0,0.0864122807017543,0.0847368421052631,0.0016754385964912,3.5789473684210527,0.0241446078431372,2026-02-02/2026-02-08,0,1,night,short,none,few,high,large,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0864122807017543
aburob,Influencers,5700000.0,2026-01-18,0.0,Sunday,1,reel,💔💔💔,6,0,3,300000.0,2900.0,15700000.0,Arabic,False,False,0.0,True,False,False,True,0.0,,302900.0,0.0531403508771929,0.0526315789473684,0.0005087719298245,2.754385964912281,0.0192929936305732,2026-01-12/2026-01-18,0,1,night,short,none,few,high,large,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0531403508771929
Hulk Gym / Diaa Shabaro,Gym,25000.0,2025-06-18,0.0,Wednesday,6,reel,زمن العاطلين ولى... هاد زمن الهولك 💪🔥 وأخيراً وبعد طول انتظار 😍 نادي هالك جيم حلم بدا يتحقق ❤️🔥,112,0,8,774.0,0.0,43500.0,Arabic,True,True,0.0,True,False,False,True,,,774.0,0.03096,0.03096,0.0,1.74,0.0177931034482758,2025-06-16/2025-06-22,0,1,night,medium,none,many,high,medium,1,1,0,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.03096
Xtreme Fitness Ramallah,Gym,4480.0,2025-12-24,0.0,Wednesday,12,reel,سألنا كوتش إيهاب وقال المفتاح (بالاستمرارية)! مين مستمر معنا باكستريم بالـ2026؟! حطو اهداف السنة الجديدة من هسا وخلو الجيم جزء منها صبحتك بالألبس~ Special Thanks:@khodrj.photos #newyear #workout #gymlife,220,3,0,245.0,0.0,24200.0,Arabic,True,True,0.0,False,False,False,True,,,245.0,0.0546875,0.0546875,0.0,5.401785714285714,0.0101239669421487,2025-12-22/2025-12-28,0,1,night,long,few,none,high,small,1,1,0,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0546875
Family Market PS,Supermarkets,2362.0,2026-05-02,0.0,Saturday,5,reel,☀️ صباح الخير | السبت 2.5.2026 ☀️ أهلاً وسهلاً بأهلنا من الداخل الفلسطيني ❤️ شرفتونا دعاء اليوم: اللهم ارزقنا في هذا اليوم راحة بال ورزقاً واسعاً وخيراً لا ينقطع 🤍,176,0,8,3221.0,15.0,127000.0,Arabic,True,False,0.0,True,True,True,True,0.0,,3236.0,1.370025402201524,1.363674851820491,0.006350550381033,53.7679932260796,0.0254803149606299,2026-04-27/2026-05-03,0,1,night,long,none,many,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,1.370025402201524
Family Market PS,Supermarkets,2362.0,2026-04-18,0.0,Saturday,4,reel,صباحكم معطر بالصلاة على سيدنا محمد ﷺ 🌿 السبت 18.4.2026 اللهم في هذا الصباح اجعل لنا فيه فرجاً لكل هم وسعادةً تملأ قلوبنا واكتب لنا الخير أينما كان وارضنا به 🤲✨,190,1,5,2609.0,14.0,140000.0,Arabic,True,False,0.0,True,True,False,True,0.0,,2623.0,1.1104995766299746,1.1045723962743437,0.0059271803556308,59.27180355630821,0.0187357142857142,2026-04-13/2026-04-19,0,1,night,long,few,many,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,1.1104995766299746
Family Market PS,Supermarkets,2362.0,2026-04-11,0.0,Saturday,4,reel,زيارة أهلنا من القدس وضواحيها لسوبر ماركت العائلات اليوم ❤️ أهلاً وسهلاً بكم شكراً لأهلنا أم عتاب الداخلة ❤️,116,0,3,1678.0,83.0,274000.0,Arabic,False,False,0.0,True,False,True,True,0.0,,1761.0,0.7455546147332769,0.7104149026248942,0.0351397121083827,116.00338696020322,0.00642700729927,2026-04-06/2026-04-12,0,1,night,medium,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.7455546147332769
